Nir_610nm,Nir_680nm,Nir_730nm,Nir_760nm,Nir_810nm,Nir_860nm,Blood_Prediction
3868.436133,181.7601715,350.1461853,1214.877954,3550.237207,1892.272729,0
3855.238428,188.3023987,353.379718,1229.923511,3545.898291,1888.878174,0
3847.624414,190.5779572,356.8442322,1238.148413,3547.757813,1885.10647,0
3845.086426,192.5690735,358.6919678,1243.965991,3547.757861,1883.786353,0
3842.548438,194.8446289,359.8468017,1251.589087,3546.518115,1883.597754,0
3845.340235,197.9735169,362.1564758,1260.014575,3548.377686,1884.540698,0
3841.533154,198.257962,362.6184143,1259.212158,3550.030615,1883.032007,0
3838.741455,199.680188,364.9280762,1265.029785,3553.95625,1881.334741,0
3834.680517,197.1201813,364.4661438,1262.622485,3550.65044,1879.448877,0
3833.919189,198.8268524,363.7732483,1263.826147,3544.452002,1879.82605,0
3829.350684,201.3868591,362.1564758,1268.038867,3535.154346,1879.637476,0
3827.320361,208.4979767,365.1590515,1285.692334,3532.675098,1880.580371,0
3820.467725,210.4890869,365.1590393,1289.704492,3525.856787,1878.12876,0
3819.45249,215.0402008,369.3164612,1304.348828,3529.162598,1877.374439,0
3809.554248,219.5913208,368.8545166,1311.771265,3516.145947,1874.168457,0
3815.13789,218.4535431,371.3951599,1307.759155,3534.327978,1875.677124,0
3817.675928,210.48909,367.6996826,1292.914233,3530.815527,1876.242896,0
3830.365918,213.3335358,373.704834,1307.558569,3548.790918,1880.580395,0
3820.721533,217.3157593,370.471289,1311.971924,3530.608935,1879.260303,0
3345.859668,205.6535278,391.951239,1241.358106,3506.84834,1745.175586,0
3316.16499,234.3824402,419.436322,1323.406494,3473.377002,1728.768579,0
3394.081934,188.0179566,366.0829163,1154.695727,3542.179297,1754.039136,0
3444.33457,188.3024017,411.5834412,1230.324732,3612.841016,1770.634692,0
3464.892383,193.7068543,424.0556701,1247.376343,3636.394971,1777.989551,0
3475.805811,195.1290771,427.0582398,1252.391504,3648.99834,1783.458569,0
3483.166065,192.2846283,427.0582398,1248.178784,3656.436426,1784.967236,0
3488.749658,192.5690735,428.9059814,1251.388477,3663.254639,1787.418872,0
3496.871338,197.4046295,435.3730591,1268.841309,3670.072949,1793.265063,0
3504.73916,197.6890717,440.2233704,1273.455273,3683.296192,1797.036743,0
3514.637403,198.5424072,445.535614,1281.479541,3693.833447,1800.431323,0
3523.26665,197.9735169,445.7665833,1280.877759,3703.750928,1805.145923,0
3527.83501,197.1201813,444.6117432,1276.66499,3704.16416,1805.334522,0
3533.164893,197.1201813,447.6143188,1282.883838,3710.569189,1808.351904,0
3535.95669,197.4046265,448.7691528,1283.084424,3714.494824,1809.483423,0
3537.479541,198.5424073,452.6955994,1289.704468,3718.627099,1810.04917,0
3544.839697,197.9735169,452.6955933,1287.698413,3723.58584,1812.50083,0
3548.900537,196.551294,450.6168884,1280.877759,3727.718115,1815.329614,0
3547.8854,190.8624024,445.3046387,1267.838306,3725.23877,1816.08396,0
3547.633592,190.0088668,443.4589031,1265.232395,3723.372559,1815.708787,0
2846.379199,168.1068237,242.9774322,783.7728149,2854.156836,1662.763477,0
2908.052832,168.6757172,245.5180695,771.1345581,2887.008301,1671.249829,0
2927.087842,165.8312713,250.8303131,770.93396,2903.537403,1673.512866,0
2926.326514,166.4001617,252.9090179,772.5388061,2902.091064,1672.192749,0
2926.072705,166.4001587,258.2212616,777.1527832,2904.983643,1670.495459,0
2915.920654,163.2712646,254.9877258,768.326062,2899.611767,1668.609619,0
2918.204883,164.1246002,260.7619019,773.7424438,2906.843213,1669.929736,0
2916.428272,162.4179291,259.3761047,768.5266602,2904.363769,1668.986792,0
2922.519482,161.8490387,261.9167359,769.128479,2913.04165,1669.552563,0
2920.489062,160.4268188,258.2212585,761.7060181,2908.496143,1668.609619,0
2926.072705,160.4268158,260.9928711,763.5114502,2918.000342,1668.986792,0
2931.148731,161.2801483,261.9167358,766.9217896,2918.206934,1668.798193,0
2938.762744,161.8490387,266.7670471,772.3381958,2923.785547,1667.855273,0
2938.762744,161.5645935,267.4599487,772.7394165,2926.264844,1667.289526,0
2948.661035,161.2801483,268.8457581,773.1406372,2933.496338,1668.421045,0
2951.960449,160.9957062,270.6934875,773.742456,2937.628662,1668.798193,0
2950.945166,160.711261,271.1554321,774.1436645,2936.802197,1667.289502,0
2954.752197,160.4268188,275.0818726,778.9582397,2943.826953,1667.855273,0
2953.229395,160.4268188,274.1580017,776.1497314,2940.108056,1665.592236,0
2955.767432,160.4268188,274.6199341,775.7485229,2943.62041,1665.780835,0
2890.540527,104.3912094,281.7799004,551.4695465,2585.972705,1610.147974,0
2644.099658,43.23559647,46.19342804,85.65932465,1716.130518,1457.016064,0
2735.214258,45.22670974,48.27213288,101.9085221,1902.908936,1523.775562,0
2750.188525,46.36448898,49.88890228,121.1668243,1997.33125,1575.636694,0
2846.37915,49.49337997,55.6630806,154.4676361,2196.299853,1634.098389,0
2865.921826,50.34671478,57.51081848,160.2852478,2233.903564,1653.145581,0
2883.68794,50.34671478,59.3585556,168.3095398,2277.292285,1659.557519,0
2915.159278,51.76893921,62.13016052,181.7502319,2330.1854,1684.450855,0
2926.072705,52.62227249,64.43983231,191.1787781,2362.623633,1698.594849,0
2942.569678,54.32893982,66.74950409,204.6194763,2398.367774,1731.220215,0
