Vis_450nm,Vis_500nm,Vis_550nm,Vis_570nm,Vis_600nm,Vis_650nm,Blood_Prediction
2396.582471,95.35937653,47.4335907,36.12616844,99.68647309,52.54620743,0
2592.402441,74.53141785,37.0109642,30.51070252,110.78517,53.74044037,0
2872.856494,76.36917877,38.92532349,31.63379517,122.2874558,60.66698532,0
2984.595654,69.22233276,36.58555069,27.70296898,134.5969177,58.75621491,0
2982.936133,70.24330902,38.92532501,29.3876091,131.5700012,59.71159973,0
3001.46709,70.65169831,38.4999115,29.76197357,132.1753845,59.95044708,0
3010.041114,71.87687531,38.92532501,30.13633805,132.9825623,61.14467697,0
3018.338623,72.28526611,39.13803177,30.32352028,134.7987122,61.86121673,0
3008.934815,72.28526459,38.71261826,29.94915581,131.9735901,61.38352356,0
3011.700635,72.6936554,38.92532425,30.32352028,133.9915344,62.33890991,0
3022.21084,72.89785309,40.2015625,31.07224922,132.377179,62.33890991,0
3020.551269,74.53141632,40.62697525,32.0081604,133.1843567,63.53314209,0
3025.253125,75.7565918,41.26509552,32.19534263,131.9735901,63.53314209,0
3024.7,78.20694122,41.69050904,33.50561676,139.4399841,64.48852539,0
3022.487305,75.14400635,41.05238876,32.19534263,132.1753845,63.53314209,0
3029.678467,75.34819947,41.05238876,32.19534263,133.9915344,63.29429626,0
3037.422803,73.91883087,41.47780228,32.0081604,134.7987122,62.5777565,0
3066.463916,73.30624237,41.69050904,31.44661369,136.2112732,61.86121673,0
3070.336035,77.18596039,42.11592255,33.13125267,135.6058899,64.24967956,0
3061.208789,75.34820251,40.62697525,32.0081604,136.4130676,63.77198791,0
1864.162231,172.1369476,30.84247017,37.06207962,86.97342377,52.06851425,0
1865.268554,158.2516419,30.84247017,35.56462097,87.37701264,51.35197449,0
1855.588183,154.3719269,30.41705666,35.19025726,86.77162934,51.35197449,0
1846.1844,155.8012909,29.77893639,34.81589355,86.16624603,51.35197449,0
1847.843897,148.2460571,29.56622963,34.6287117,88.78957367,51.35197449,0
1844.801489,147.0208832,29.35352287,34.25434646,87.1752182,51.35197449,0
1850.333154,144.1621399,29.56622963,33.87998123,86.77162933,51.35197449,0
1851.162866,142.7327728,29.56622963,34.06716461,88.78957367,51.35197449,0
1860.013476,140.2824188,29.77893639,33.69279861,87.57880707,51.35197449,0
1847.843872,144.1621429,28.92810936,33.87998123,86.16624603,51.35197449,0
1857.80083,134.7691406,28.92810936,32.94407119,87.37701264,51.35197449,0
1856.41792,138.8530518,29.14081612,33.3184349,88.58777924,51.35197449,0
1855.311597,134.9733337,28.92810936,33.13125305,88.78957367,51.35197449,0
1861.672974,132.727182,28.92810936,32.94407119,88.3859848,51.35197449,0
1858.077441,138.2404724,28.92810936,33.50561676,86.77162933,51.35197449,0
1853.6521,136.6069031,28.7154026,33.13125305,88.9913681,51.35197449,0
1858.630591,132.9313812,28.7154026,32.56970672,88.18419037,51.35197449,0
1849.779956,138.2404694,28.7154026,33.3184349,89.39495697,51.35197449,0
1851.439429,133.7481613,28.7154026,32.75688896,88.78957367,51.59082108,0
1851.162891,132.727182,28.7154026,32.5697071,87.37701263,51.35197449,0
1752.699683,41.86011124,15.31488132,15.16176014,84.1483017,42.51465912,0
1751.316772,43.08528519,15.52758789,15.16176014,81.52497406,42.27581329,0
1735.551587,44.31045914,15.31488132,15.53612461,83.5429184,43.47004471,0
1725.594653,45.94402313,14.88946819,15.91048908,83.13932953,44.18658447,0
1725.041504,46.3524147,15.10217476,15.91048908,83.74471283,44.18658447,0
1716.190894,46.96500397,15.10217476,16.09767113,82.93753509,44.18658447,0
1712.871924,46.7608078,14.88946819,16.47203522,81.72676849,44.18658447,0
1718.956689,46.96500321,15.74029445,16.28485317,83.94650726,44.18658447,0
1719.233301,46.55661163,15.52758789,16.47203522,82.3321518,44.18658447,0
1717.297217,46.96500397,15.52758789,16.65921726,82.73574066,44.18658447,0
1720.339624,46.7608078,15.10217476,16.28485317,83.5429184,44.18658447,0
1722.275659,46.7608078,15.31488132,16.28485317,87.7806015,44.18658447,0
1723.935156,46.35241547,15.74029445,15.91048908,81.72676849,43.94773788,0
1725.318066,46.1482193,15.74029445,16.47203522,82.13035736,43.94773788,0
1725.318066,46.35241547,15.95300102,16.28485317,83.5429184,43.94773788,0
1726.147803,45.94402389,15.31488132,16.09767113,81.52497406,43.70889129,0
1726.147827,46.1482193,15.52758789,16.09767113,83.34112396,43.70889129,0
1723.10542,46.35241547,15.74029445,16.65921726,82.73574066,44.18658447,0
1725.041504,46.35241547,15.95300102,16.28485317,81.92856293,44.18658447,0
1723.935132,46.7608078,15.95300102,16.65921726,82.73574066,44.18658447,0
2270.737646,58.60415726,28.28998909,16.84639931,100.4936508,26.03425789,0
2168.125781,63.30065537,26.8010418,16.84639931,104.5295395,30.81118545,0
2170.891553,62.27967834,26.58833504,16.84639931,105.9421005,30.33349304,0
