Average,Ratio,Blood_Prediction
575.25,1.175233044,1
585,1.197327494,1
612.75,1.190425532,1
594,0.988571429,1
591.75,1.006357963,1
601.5,1.151436782,1
651,1.096268379,1
612.75,1.112744574,1
620.25,1.053914698,1
633,1.057007893,1
671.25,1.118839286,1
706.5,1.156100479,1
658.5,1.170038559,1
646.5,0.985816056,1
633,1.087728282,1
661.5,1.066363417,1
564.75,1.182702012,1
604.5,1.209924812,1
546,1.123957479,1
601.5,1.173693953,1
486,1.21914145,1
479.25,1.25789132,1
478.5,1.254595405,1
496.5,1.236542939,1
510,1.208377273,1
505.5,1.202649007,1
515.25,1.245343473,1
517.5,1.190553943,1
520.5,1.224358975,1
519.75,1.213856898,1
501,1.23409396,1
518.25,1.250827604,1
515.25,1.216129033,1
512.25,1.189089789,1
507,1.209116541,1
509.25,1.226875753,1
500.25,1.269173803,1
480,1.237762238,1
480,1.245862884,1
488.25,1.260416667,1
474,1.217595785,1
354,1.529916512,1
337.5,1.70922308,1
261.75,1.493421053,1
272.25,1.577272727,1
343.5,1.459383754,1
264.75,1.430534639,1
279.75,1.539947487,1
253.5,1.567931035,1
244.5,1.574751244,1
315.75,1.487553041,1
231,1.765319426,1
204.75,1.466176471,1
135,2.304812834,1
111.75,2.242857143,1
95.25,2.798951049,1
371.25,1.304010742,1
372.75,1.354863359,1
347.25,1.411665762,1
363,1.327680475,1
396,1.359103641,1
508.5,1.139560044,1
541.75,0.251931293,1
501.75,1.237804332,1
570.75,1.067934783,1
542.25,1.329305956,1
570.25,2.257623511,1
611.5,2.589311594,1
487.5,1.289339094,1
354,1.337225275,1
331.5,1.404018913,1
317.25,1.389982111,1
295.5,1.432098765,1
295.5,1.388113429,1
349.5,1.30724723,1
330.75,1.358156028,1
297.75,1.452723378,1
268.5,1.503618936,1
285,1.374902329,1
298.5,1.397821351,1
312.75,1.370155039,1
456,1.356490385,1
434.25,1.290733325,1
423,1.292892562,1
441.75,1.257166354,1
455.25,1.281886025,1
470.25,1.271739131,1
482.25,1.264084507,1
494.25,1.288232458,1
480,1.327152984,1
432,1.341882602,1
450.75,1.311908144,1
489.75,1.291502463,1
470.25,1.305539028,1
441.75,1.310145285,1
441.75,1.300915751,1
456,1.311820495,1
603,0.068184742,1
777.5,0.851505062,1
7547,0.620831307,1
8790.75,0.7077291,1
509.25,1.263333334,1
513.75,1.245872033,1
529.5,1.248407644,1
529.5,1.228807815,1
516.75,1.251666097,1
503.25,1.282312925,1
491.25,1.274305556,1
472.5,1.299227285,1
462,1.29015931,1
481.5,1.276595745,1
482.25,1.280349148,1
488.25,1.252970202,1
489,1.263949844,1
501.75,1.230786337,1
1295,0.168888038,1
462,1.315789474,1
412.5,1.34048102,1
414.75,1.313795519,1
422.25,1.288760331,1
436.5,1.282449557,1
431.25,1.318832563,1
422.25,1.326603813,1
398.25,1.403096331,1
391.5,1.351851852,1
377.25,1.35046729,1
387.75,1.339393939,1
399,1.353696742,1
404.25,1.297115664,1
401.25,1.336473909,1
408,1.286218832,1
414.75,1.313830532,1
419.25,1.309917356,1
420,1.295168985,1
426,1.284836331,1
501,0.091148297,1
306.75,0.313075106,1
