Vis_450nm,Vis_500nm,Vis_550nm,Vis_570nm,Vis_600nm,Vis_650nm,Nir_610nm,Nir_680nm,Nir_730nm,Nir_760nm,Nir_810nm,Nir_860nm,Blood_Prediction
3061.208789,75.34820251,40.62697525,32.0081604,136.4130676,63.77198791,3087.236426,189.4401825,610.4461548,1453.801245,3847.140576,1857.761499,0
1864.162231,172.1369476,30.84247017,37.06207962,86.97342377,52.06851425,3046.374414,169.8134979,307.64823,1015.273682,3550.856982,1787.79602,0
1865.268554,158.2516419,30.84247017,35.56462097,87.37701264,51.35197449,3027.593115,176.3557251,309.7269409,1028.313123,3523.377441,1776.292285,0
1855.588183,154.3719269,30.41705666,35.19025726,86.77162934,51.35197449,3018.45625,182.8979523,307.4172668,1034.933179,3504.782276,1774.783569,0
1846.1844,155.8012909,29.77893639,34.81589355,86.16624603,51.35197449,3015.156934,185.7424011,311.1127441,1046.568432,3509.327734,1776.669433,0
1847.843897,148.2460571,29.56622963,34.6287117,88.78957367,51.35197449,3034.95332,186.0268463,309.2650024,1038.945349,3521.51792,1782.892822,0
1844.801489,147.0208832,29.35352287,34.25434646,87.1752182,51.35197449,3019.979101,186.3112854,308.8030701,1044.562353,3505.815332,1778.932495,0
1850.333154,144.1621399,29.56622963,33.87998123,86.77162933,51.35197449,3027.846924,190.5779572,313.4224121,1056.59878,3514.699658,1781.761279,0
1851.162866,142.7327728,29.56622963,34.06716461,88.78957367,51.35197449,3023.278467,192.0001831,312.9604736,1058.404248,3513.873291,1782.515649,0
1860.013476,140.2824188,29.77893639,33.69279861,87.57880707,51.35197449,3028.100684,194.5601898,314.1153076,1064.221851,3510.980664,1783.269971,0
1847.843872,144.1621429,28.92810936,33.87998123,86.16624603,51.35197449,3027.846973,196.551294,317.1178833,1070.841895,3518.005469,1784.212915,0
1857.80083,134.7691406,28.92810936,32.94407119,87.37701264,51.35197449,3020.23291,199.3957428,313.8843384,1073.650391,3499.616894,1782.327051,0
1856.41792,138.8530518,29.14081612,33.3184349,88.58777924,51.35197449,3031.146289,202.5246399,320.5823853,1086.890454,3519.865088,1787.607446,0
1855.311597,134.9733337,28.92810936,33.13125305,88.78957367,51.35197449,3025.308887,205.3690826,317.8107849,1086.489282,3509.947607,1786.475928,0
1861.672974,132.727182,28.92810936,32.94407119,88.3859848,51.35197449,3031.653906,206.2224152,318.5036865,1088.896557,3515.319532,1788.173242,0
1858.077441,138.2404724,28.92810936,33.50561676,86.77162933,51.35197449,3092.82002,181.7601684,320.5823914,1048.574512,3603.75,1812.877978,0
1853.6521,136.6069031,28.7154026,33.13125305,88.9913681,51.35197449,3088.251611,187.7335083,317.5798157,1063.218823,3582.468896,1814.009497,0
1858.630591,132.9313812,28.7154026,32.56970672,88.18419037,51.35197449,3075.815332,195.4135193,320.8133545,1077.060742,3565.939795,1807.974756,0
1849.779956,138.2404694,28.7154026,33.3184349,89.39495697,51.35197449,3066.678467,197.1201813,315.2701477,1073.44978,3547.75791,1805.334521,0
1851.439429,133.7481613,28.7154026,32.75688896,88.78957367,51.59082108,3069.216455,198.2579621,317.1178772,1077.261304,3551.270264,1805.52312,0
1851.162891,132.727182,28.7154026,32.5697071,87.37701263,51.35197449,3068.962744,198.5424072,318.7346497,1082.075903,3554.782715,1807.974731,0
1752.699683,41.86011124,15.31488132,15.16176014,84.1483017,42.51465912,2829.88208,116.9067779,226.5787659,791.3958862,3232.672461,1628.44082,0
1751.316772,43.08528519,15.52758789,15.16176014,81.52497406,42.27581329,2807.29375,112.9245529,218.2639496,766.520581,3200.23418,1613.165308,0
1735.551587,44.31045914,15.31488132,15.53612461,83.5429184,43.47004471,2789.273926,111.7867737,212.2588043,754.6847534,3172.341357,1604.301758,0
1725.594653,45.94402313,14.88946819,15.91048908,83.13932953,44.18658447,2785.974463,111.2178833,211.5659027,751.4750366,3167.382617,1601.850147,0
1725.041504,46.3524147,15.10217476,15.91048908,83.74471283,44.18658447,2777.852832,110.0801041,209.7181641,745.2562134,3156.018945,1595.815405,0
1716.190894,46.96500397,15.10217476,16.09767113,82.93753509,44.18658447,2771.761621,109.7956589,209.9491333,745.2562134,3153.126319,1593.929566,0
1712.871924,46.7608078,14.88946819,16.47203522,81.72676849,44.18658447,2771.000196,109.7956604,209.9491303,744.453772,3150.027149,1592.043701,0
1718.956689,46.96500321,15.74029445,16.28485317,83.94650726,44.18658447,2768.462207,110.0801056,210.4110657,747.0616699,3149.613916,1592.420874,0
1719.233301,46.55661163,15.52758789,16.47203522,82.3321518,44.18658447,2765.67041,110.6489945,209.487201,743.2501221,3142.589014,1588.083398,0
1717.297217,46.96500397,15.52758789,16.65921726,82.73574066,44.18658447,2764.401416,110.3645508,211.3349335,746.6604492,3145.894873,1589.214893,0
1720.339624,46.7608078,15.10217476,16.28485317,83.5429184,44.18658447,2765.162793,110.0801056,211.5659058,747.4628662,3146.101465,1589.026343,0
1722.275659,46.7608078,15.31488132,16.28485317,87.7806015,44.18658447,2769.47749,110.3645493,211.5659027,748.2653198,3151.060205,1591.477954,0
1723.935156,46.35241547,15.74029445,15.91048908,81.72676849,43.94773788,2765.162842,110.6489945,211.7968689,747.2622681,3147.754395,1588.837744,0
1725.318066,46.1482193,15.74029445,16.47203522,82.13035736,43.94773788,2765.924219,110.0801056,211.5658996,746.0586304,3145.894824,1588.271997,0
1725.318066,46.35241547,15.95300102,16.28485317,83.5429184,43.94773788,2763.386231,109.7956604,210.4110687,744.2531738,3141.556006,1588.460547,0
1726.147803,45.94402389,15.31488132,16.09767113,81.52497406,43.70889129,2760.848145,108.9423248,209.2562348,741.4446655,3140.522949,1587.517627,0
1726.147827,46.1482193,15.52758789,16.09767113,83.34112396,43.70889129,2763.893799,108.3734375,205.5607575,734.2227905,3136.597217,1588.83772,0
1723.10542,46.35241547,15.74029445,16.65921726,82.73574066,44.18658447,2765.67041,107.8045456,205.7917236,735.8276489,3138.870019,1590.157837,0
1725.041504,46.35241547,15.95300102,16.28485317,81.92856293,44.18658447,2764.401367,107.8045471,206.4846252,736.4294678,3139.696484,1589.780688,0
1723.935132,46.7608078,15.95300102,16.65921726,82.73574066,44.18658447,2759.832959,106.9512146,205.3297882,732.4173218,3131.638623,1585.631763,0
2270.737646,58.60415726,28.28998909,16.84639931,100.4936508,26.03425789,4582.378711,290.4180481,546.0063232,1440.561182,3746.31333,1968.2729,0
